objectid,filename,title,creator,date,description,subject,location,type,format,rights,rightsstatement
sm11925im,20241109_131411.jpg,Sleeping Meemers,Aurora Hagen,11/9/2024,Meemers sleeping on the bed,Pets;Cats,"Thomasville, North Carolina",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ss111324im,20241113_141414.jpg,Sunning Siblings,Aurora Hagen,11/13/2024,"Mando, Midge, and Momo sunbathing in the office",Pets;Cats,"Thomasville, North Carolina",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
gm111924im,20241119_083158.jpg,Glaring Mando,Aurora Hagen,11/19/2024,Mando glaring at camera in Aurora's lap,Pets;Cats,"Thomasville, North Carolina",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
pm12124im,20241201_114534.jpg,Playful Midge,Aurora Hagen,12/1/2024,Midge playing with a feather toy in the livingroom,Pets;Cats,"Thomasville, North Carolina",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mcu12324im,Snapchat-2054137860.jpg,Meemers Close-Up,Aurora Hagen,12/3/2024,Close-up of Meemers biting Aurora's sleeve,Pets;Cats,"Thomasville, North Carolina",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
tt122224im,201fd510-4b59-4cc2-82f4-f52d4d25de6c.jpg,Tub Time,Aurora Hagen,12/22/2024,Meemers posing on the side of the tub,Pets;Cats,"Thomasville, North Carolina",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
bb12125im,20250121_102616.jpg,Birdwatching Brothers,Aurora Hagen,1/21/2025,Meemers and Mando birdwatching,Pets;Cats,"Thomasville, North Carolina",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
sa12725im,20250127_145816.jpg,Sleeve Attack,Aurora Hagen,1/27/2025,Meemers desperately attacking Aurora's sleeve,Pets;Cats,"Thomasville, North Carolina",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mc2925im,20250209_192908.jpg,Meemers Chill,Aurora Hagen,2/9/2025,Meemers laying on the back on the couch,Pets;Cats,"Thomasville, North Carolina",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ms3925im,20250309_082900.jpg,Meemers Style,Aurora Hagen,3/9/2025,Meemers wearing a gator on the bed,Pets;Cats,"Thomasville, North Carolina",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
